UNIQUE_NUMBER,SPECIES,DEER_SEX,ESTIMATED_BIRTH_DATE,HOW_ADDED,ADDED_DATE,SOURCE_FACILITY,HOW_REMOVED,REMOVED_DATE,DESTINATION_FID,DESTINATION_TYPE,REPORTED_DEATH_DATE,CAUSE_OF_DEATH,FACILITY_WHERE_DEAD,POSTMORT_TEST_RESULT,POSTMORT_SMPL_CLLCTN_DATE,POSTMORT_TISSUE_TYPE,ANTEMORT_TEST_RESULT,ANTEMORT_SMPL_CLLCTN_DATE,ANTEMORT_FCLTY_WHERE_TESTED,ANTEMORT_TISSUE_TYPE
01NB4,White-Tailed Deer,F,6/28/2023,Birth,6/28/2023,,,,,,,,,,,,,,,
01NB5,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Death,3/3/2023,,,3/3/2023,Accidental Death or Injury,10953B,,,,,,,
01NB6,White-Tailed Deer,M,6/20/2020,Birth,6/20/2020,,Transferred,9/15/2024,12691R,R,,,,,,,Ante-mortem Rectal,2/22/2024,10953B,Not detected
01NB7,White-Tailed Deer,M,6/20/2020,Birth,6/20/2020,,Transferred,8/29/2024,24352R,R,,,,,,,Ante-mortem Rectal,7/26/2024,10953B,Not detected
01NB8,White-Tailed Deer,M,6/20/2020,Birth,6/20/2020,,Death,11/28/2023,,,11/28/2023,Natural Causes or Weather Related,10953B,Post-mortem Obex and RLN,11/29/2023,Obex and RLN Not Detected,Ante-mortem Rectal,3/9/2023,10953B,Not detected
01NB9,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Transferred,8/29/2024,24352R,R,,,,,,,Ante-mortem Rectal,7/26/2024,10953B,Not detected
01NBB,White-Tailed Deer,M,6/20/2020,Birth,6/20/2020,,Transferred,9/6/2024,20349R,R,,,,,,,Ante-mortem Rectal,2/22/2024,10953B,Not detected
01NBC,White-Tailed Deer,M,6/20/2020,Birth,6/20/2020,,Transferred,9/16/2024,24892R,R,,,,,,,Ante-mortem Rectal,2/22/2024,10953B,Not detected
01NBF,White-Tailed Deer,M,6/20/2020,Birth,6/20/2020,,Transferred,4/8/2024,20487R,R,,,,,,,Ante-mortem Rectal,2/22/2024,10953B,Not detected
01NBG,White-Tailed Deer,M,6/20/2020,Birth,6/20/2020,,Transferred,4/8/2024,20487R,R,,,,,,,Ante-mortem Rectal,2/22/2024,10953B,Not detected
01NBH,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Transferred,9/13/2024,24571R,R,,,,,,,Ante-mortem Rectal,7/26/2024,10953B,Not detected
01NBJ,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Death,12/31/2022,,,12/31/2022,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,1/6/2023,Obex and RLN Not Detected,,,,
01NBK,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Transferred,8/29/2024,24352R,R,,,,,,,Ante-mortem Rectal,7/26/2024,10953B,Not detected
01NBL,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Death,1/29/2024,,,1/29/2024,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,1/29/2024,Obex and RLN Not Detected,Ante-mortem Rectal,10/6/2023,10953B,Not detected
01NBM,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,,,,,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
01NBN,White-Tailed Deer,F,6/28/2023,Birth,6/28/2023,,,,,,,,,,,,,,,
01NBP,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Death,10/9/2023,,,10/9/2023,Pneumonia,10953B,Post-mortem Obex and RLN,10/9/2023,Obex and RLN Not Detected,,,,
01NBQ,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Transferred,9/13/2024,24866R,R,,,,,,,Ante-mortem Rectal,7/26/2024,10953B,Not detected
01NBR,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Death,1/27/2024,,,1/27/2024,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,1/29/2024,Obex and RLN Not Detected,Ante-mortem Rectal,10/6/2023,10953B,Not detected
01NBT,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Transferred,10/26/2022,17400B,B,12/19/2023,Culled for CWD Testing,17400B,Post-mortem Obex and RLN,12/19/2023,Obex and RLN Not Detected,,,,
01NBV,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Transferred,9/16/2024,24892R,R,,,,,,,Ante-mortem Rectal,7/26/2024,10953B,Not detected
01NBW,White-Tailed Deer,F,6/19/2022,Birth,6/19/2022,,,,,,,,,,,,Ante-mortem Rectal,9/27/2023,10953B,Not detected
01NBX,White-Tailed Deer,F,6/19/2022,Birth,6/19/2022,,,,,,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
01NBY,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Death,1/19/2023,,,1/19/2023,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,1/24/2023,Obex and RLN Not Detected,,,,
01NC0,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Transferred,8/31/2024,24571R,R,,,,,,,Ante-mortem Rectal,7/26/2024,10953B,Not detected
01NC1,White-Tailed Deer,M,6/19/2022,Birth,6/19/2022,,,,,,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
01NC2,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,,,,,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
01NC3,White-Tailed Deer,M,6/19/2022,Birth,6/19/2022,,,,,,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
01NC4,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Transferred,8/29/2024,24352R,R,,,,,,,Ante-mortem Rectal,7/26/2024,10953B,Not detected
01NC5,White-Tailed Deer,M,6/19/2022,Birth,6/19/2022,,Transferred,4/8/2024,20487R,R,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
01NC6,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Transferred,9/6/2024,20349R,R,,,,,,,Ante-mortem Rectal,7/26/2024,10953B,Not detected
01NC7,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Transferred,2/17/2024,12089R,R,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
01NC8,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Death,7/28/2024,,,7/28/2024,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,7/28/2024,Obex and RLN Not Detected,Ante-mortem Rectal,10/6/2023,10953B,Not detected
01NC9,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Transferred,4/8/2024,20487R,R,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
01NCB,White-Tailed Deer,F,6/25/2020,Birth,6/25/2020,,Death,9/14/2023,,,9/14/2023,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,9/14/2023,Obex and RLN Not Detected,,,,
01NCC,White-Tailed Deer,F,6/12/2020,Birth,6/12/2020,,Transferred,2/17/2024,12089R,R,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
01NCF,White-Tailed Deer,F,6/12/2020,Birth,6/12/2020,,Transferred,5/12/2023,21965R,R,,,,,,,Ante-mortem Rectal,2/3/2023,10953B,Not detected
01NCG,White-Tailed Deer,F,6/12/2020,Birth,6/12/2020,,Transferred,2/17/2024,12089R,R,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
01NCH,White-Tailed Deer,F,6/12/2020,Birth,6/12/2020,,Transferred,3/30/2022,17903R,R,,,,,,,Ante-mortem Rectal,12/1/2021,10953B,Not detected
01NCJ,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,,,,,,,,,,,Ante-mortem Rectal,7/26/2024,10953B,Not detected
01NCK,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Transferred,8/31/2024,24571R,R,,,,,,,Ante-mortem Rectal,7/26/2024,10953B,Not detected
01NCL,White-Tailed Deer,F,6/12/2020,Birth,6/12/2020,,Death,7/26/2024,,,7/26/2024,Giving Birth,10953B,Post-mortem Obex and RLN,7/26/2024,Obex and RLN Not Detected,Ante-mortem Rectal,9/27/2023,10953B,Not detected
01NCM,White-Tailed Deer,M,6/19/2022,Birth,6/19/2022,,Death,9/19/2023,,,9/19/2023,Pneumonia,10953B,Post-mortem Obex and RLN,9/19/2023,Obex and RLN Not Detected,,,,
01NCN,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Transferred,9/16/2024,24892R,R,,,,,,,Ante-mortem Rectal,7/26/2024,10953B,Not detected
01NCP,White-Tailed Deer,F,6/12/2020,Birth,6/12/2020,,Transferred,4/26/2021,19888B,B,,,,,,,,,,
01NCQ,White-Tailed Deer,F,6/12/2020,Birth,6/12/2020,,Transferred,4/8/2022,20072R,R,,,,,,,Ante-mortem Rectal,12/1/2021,10953B,Not detected
01NCR,White-Tailed Deer,F,6/12/2020,Birth,6/12/2020,,,,,,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
01NCT,White-Tailed Deer,F,6/12/2020,Birth,6/12/2020,,Death,7/25/2024,,,7/25/2024,Pneumonia,10953B,Post-mortem Obex and RLN,7/25/2024,Obex and RLN Not Detected,Ante-mortem Rectal,9/27/2023,10953B,Not detected
01NCV,White-Tailed Deer,F,6/12/2020,Birth,6/12/2020,,Transferred,4/28/2023,716B,B,7/11/2023,Culled for CWD Testing,716B,Post-mortem Obex and RLN,7/11/2023,Obex and RLN Not Detected,,,,
01NCW,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Death,3/4/2023,,,3/4/2023,Pneumonia,10953B,Post-mortem Obex and RLN,3/6/2023,Obex and RLN Not Detected,,,,
01NCX,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Transferred,9/16/2024,24892R,R,,,,,,,Ante-mortem Rectal,7/26/2024,10953B,Not detected
01NCY,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Death,3/3/2023,,,3/3/2023,Accidental Death or Injury,10953B,,,,,,,
01NF0,White-Tailed Deer,F,6/12/2020,Birth,6/12/2020,,Death,3/28/2022,,,3/28/2022,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,3/28/2022,Obex and RLN Not Detected,,,,
01NF1,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Transferred,9/13/2024,24571R,R,,,,,,,Ante-mortem Rectal,7/26/2024,10953B,Not detected
01NF2,White-Tailed Deer,F,6/25/2020,Birth,6/25/2020,,,,,,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
01NF3,White-Tailed Deer,F,6/12/2020,Birth,6/12/2020,,Transferred,4/29/2021,2577B,B,,,,,,,Ante-mortem Rectal,11/1/2023,2577B,Not detected
01NF4,White-Tailed Deer,F,6/12/2020,Birth,6/12/2020,,Death,11/27/2022,,,11/27/2022,Pneumonia,10953B,Post-mortem Obex and RLN,11/30/2022,Not detected,,,,
01NF5,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Death,3/6/2023,,,3/6/2023,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,3/6/2023,Obex and RLN Not Detected,,,,
01NF6,White-Tailed Deer,F,6/12/2020,Birth,6/12/2020,,Transferred,5/12/2023,21965R,R,,,,,,,Ante-mortem Rectal,2/3/2023,10953B,Not detected
01NF7,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,,,,,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
01NF8,White-Tailed Deer,F,6/12/2020,Birth,6/12/2020,,Transferred,4/15/2023,23009R,R,,,,,,,Ante-mortem Rectal,2/3/2023,10953B,Not detected
01NF9,White-Tailed Deer,F,6/12/2020,Birth,6/12/2020,,Transferred,10/18/2022,16166B,B,,,,,,,,,,
01NFB,White-Tailed Deer,F,6/12/2020,Birth,6/12/2020,,Death,3/28/2022,,,3/28/2022,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,3/28/2022,"Obex Location, RLN Not Detected",,,,
01NFC,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Transferred,4/8/2024,20487R,R,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
01NFF,White-Tailed Deer,F,6/12/2020,Birth,6/12/2020,,Death,3/25/2022,,,3/25/2022,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,3/25/2022,Obex and RLN Not Detected,,,,
01NFG,White-Tailed Deer,F,6/12/2020,Birth,6/12/2020,,,,,,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
01NFH,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,,,,,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
01NFJ,White-Tailed Deer,F,6/12/2020,Birth,6/12/2020,,Transferred,3/26/2022,15020R,R,,,,,,,Ante-mortem Rectal,12/1/2021,10953B,Not detected
01NFK,White-Tailed Deer,F,6/25/2020,Birth,6/25/2020,,Transferred,4/15/2023,2577B,B,,,,,,,Ante-mortem Rectal,11/1/2023,2577B,Not detected
01NFL,White-Tailed Deer,F,6/25/2020,Birth,6/25/2020,,Transferred,4/29/2024,4859BO,BO,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
01NFM,White-Tailed Deer,F,6/29/2021,Birth,6/29/2021,,Death,6/16/2022,,,6/16/2022,EHD - Blue Tongue Disease,10953B,Post-mortem Obex and RLN,6/16/2022,Obex and RLN Not Detected,,,,
01NFN,White-Tailed Deer,F,6/29/2021,Birth,6/29/2021,,Transferred,5/12/2023,21965R,R,,,,,,,Ante-mortem Rectal,2/3/2023,10953B,Not detected
01NFP,White-Tailed Deer,F,6/25/2020,Birth,6/25/2020,,Transferred,4/29/2021,2577B,B,,,,,,,Ante-mortem Rectal,11/1/2023,2577B,Not detected
01NFQ,White-Tailed Deer,F,6/25/2020,Birth,6/25/2020,,Death,11/27/2022,,,11/27/2022,Pneumonia,10953B,Post-mortem Obex and RLN,11/30/2022,Not detected,,,,
01NFR,White-Tailed Deer,F,6/29/2021,Birth,6/29/2021,,Death,11/28/2022,,,11/28/2022,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,11/30/2022,Obex and RLN Not Detected,,,,
01NFT,White-Tailed Deer,F,6/29/2021,Birth,6/29/2021,,Transferred,4/29/2024,4859BO,BO,,,,,,,Ante-mortem Rectal,9/27/2023,10953B,Not detected
01NFV,White-Tailed Deer,F,6/25/2020,Birth,6/25/2020,,Death,7/24/2023,,,7/24/2023,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,7/24/2023,Obex and RLN Not Detected,,,,
01NFW,White-Tailed Deer,F,6/25/2020,Birth,6/25/2020,,Transferred,5/15/2023,20487R,R,,,,,,,Ante-mortem Rectal,2/3/2023,10953B,Not detected
01NFX,White-Tailed Deer,F,6/25/2020,Birth,6/25/2020,,Transferred,4/29/2024,4859BO,BO,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
01NFY,White-Tailed Deer,F,6/25/2020,Birth,6/25/2020,,Transferred,2/17/2024,12089R,R,,,,,,,Ante-mortem Rectal,9/27/2023,10953B,Not detected
01NG0,White-Tailed Deer,F,6/25/2020,Birth,6/25/2020,,Transferred,3/26/2022,15020R,R,,,,,,,Ante-mortem Rectal,12/1/2021,10953B,Not detected
01NG1,White-Tailed Deer,F,6/29/2021,Birth,6/29/2021,,Death,1/1/2023,,,1/1/2023,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,1/6/2023,Obex and RLN Not Detected,,,,
01NG2,White-Tailed Deer,F,6/25/2020,Birth,6/25/2020,,Transferred,3/28/2022,20487R,R,,,,,,,Ante-mortem Rectal,12/1/2021,10953B,Not detected
01NG3,White-Tailed Deer,F,6/25/2020,Birth,6/25/2020,,Transferred,3/26/2022,15020R,R,,,,,,,Ante-mortem Rectal,12/1/2021,10953B,Not detected
01NG4,White-Tailed Deer,F,6/25/2020,Birth,6/25/2020,,Transferred,3/26/2022,15020R,R,,,,,,,Ante-mortem Rectal,12/1/2021,10953B,Not detected
01NG5,White-Tailed Deer,F,6/29/2021,Birth,6/29/2021,,,,,,,,,,,,Ante-mortem Rectal,9/27/2023,10953B,Not detected
01NG6,White-Tailed Deer,F,6/29/2021,Birth,6/29/2021,,Death,11/28/2022,,,11/28/2022,Pneumonia,10953B,Post-mortem Obex and RLN,11/30/2022,"Obex Location, RLN Not Detected",,,,
01NG7,White-Tailed Deer,M,6/19/2022,Birth,6/19/2022,,Transferred,4/8/2024,20487R,R,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
01NG8,White-Tailed Deer,F,6/22/2021,Birth,6/22/2021,,Transferred,3/31/2022,20026B,B,,,,,,,,,,
01NG9,White-Tailed Deer,F,6/29/2021,Birth,6/29/2021,,Transferred,4/29/2024,4859BO,BO,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
01NGB,White-Tailed Deer,M,6/28/2023,Birth,6/28/2023,,,,,,,,,,,,,,,
01NGC,White-Tailed Deer,M,6/28/2023,Birth,6/28/2023,,,,,,,,,,,,,,,
01NGF,White-Tailed Deer,F,6/21/2021,Birth,6/21/2021,,Transferred,4/2/2022,2577B,B,,,,,,,Ante-mortem Rectal,11/1/2023,2577B,Not detected
01NGG,White-Tailed Deer,F,6/29/2021,Birth,6/29/2021,,Death,1/21/2023,,,1/21/2023,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,1/24/2023,Obex and RLN Not Detected,,,,
01NGH,White-Tailed Deer,F,6/29/2021,Birth,6/29/2021,,Transferred,4/29/2024,4859BO,BO,,,,,,,Ante-mortem Rectal,9/27/2023,10953B,Not detected
01NGJ,White-Tailed Deer,F,6/29/2021,Birth,6/29/2021,,Death,11/26/2022,,,11/26/2022,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,11/30/2022,"Obex Location, RLN Not Detected",,,,
01NGK,White-Tailed Deer,F,6/29/2021,Birth,6/29/2021,,Transferred,4/29/2024,4859BO,BO,,,,,,,Ante-mortem Rectal,9/27/2023,10953B,Not detected
01NGL,White-Tailed Deer,F,6/29/2021,Birth,6/29/2021,,,,,,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
