UNIQUE_NUMBER,SPECIES,DEER_SEX,ESTIMATED_BIRTH_DATE,HOW_ADDED,ADDED_DATE,SOURCE_FACILITY,HOW_REMOVED,REMOVED_DATE,DESTINATION_FID,DESTINATION_TYPE,REPORTED_DEATH_DATE,CAUSE_OF_DEATH,FACILITY_WHERE_DEAD,POSTMORT_TEST_RESULT,POSTMORT_SMPL_CLLCTN_DATE,POSTMORT_TISSUE_TYPE,ANTEMORT_TEST_RESULT,ANTEMORT_SMPL_CLLCTN_DATE,ANTEMORT_FCLTY_WHERE_TESTED,ANTEMORT_TISSUE_TYPE
01NGM,White-Tailed Deer,F,6/29/2021,Birth,6/29/2021,,Transferred,5/12/2023,21965R,R,,,,,,,Ante-mortem Rectal,2/3/2023,10953B,Not detected
01NGN,White-Tailed Deer,F,6/29/2021,Birth,6/29/2021,,Transferred,4/6/2023,19953B,B,11/12/2023,Accidental Death or Injury,19953B,Post-mortem Obex and RLN,11/13/2023,Obex and RLN Not Detected,,,,
01NGP,White-Tailed Deer,F,6/29/2021,Birth,6/29/2021,,Transferred,5/12/2023,21965R,R,,,,,,,Ante-mortem Rectal,2/3/2023,10953B,Not detected
01NGQ,White-Tailed Deer,F,6/28/2023,Birth,6/28/2023,,,,,,,,,,,,,,,
01NGR,White-Tailed Deer,F,6/29/2021,Birth,6/29/2021,,Transferred,4/15/2023,15020R,R,,,,,,,Ante-mortem Rectal,3/9/2023,10953B,Not detected
01NGT,White-Tailed Deer,F,6/29/2021,Birth,6/29/2021,,Transferred,4/29/2024,4859BO,BO,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
01NGV,White-Tailed Deer,F,6/22/2021,Birth,6/22/2021,,Transferred,4/14/2022,17833B,B,12/21/2023,Culled for CWD Testing,17833B,Post-mortem Obex and RLN,12/21/2023,Obex and RLN Not Detected,,,,
01NGX,White-Tailed Deer,F,6/22/2021,Birth,6/22/2021,,Transferred,3/31/2022,20026B,B,,,,,,,,,,
01NGY,White-Tailed Deer,F,6/29/2021,Birth,6/29/2021,,Transferred,4/29/2024,4859BO,BO,,,,,,,Ante-mortem Rectal,9/27/2023,10953B,Not detected
01NH0,White-Tailed Deer,F,6/29/2021,Birth,6/29/2021,,Transferred,4/29/2024,4859BO,BO,,,,,,,Ante-mortem Rectal,9/27/2023,10953B,Not detected
