UNIQUE_NUMBER,Years_Present,TESTING_DATE
01NGJ,2022,11/30/2022
01NGK,2021,9/27/2023
01NGK,2022,9/27/2023
01NGK,2023,9/27/2023
01NGK,2024,9/27/2023
01NGL,2021,10/6/2023
01NGL,2022,10/6/2023
01NGL,2023,10/6/2023
01NGL,2024,10/6/2023
01NGM,2021,2/3/2023
01NGM,2022,2/3/2023
01NGM,2023,2/3/2023
01NGN,2021,11/13/2023
01NGN,2022,11/13/2023
01NGN,2023,11/13/2023
01NGP,2021,2/3/2023
01NGP,2022,2/3/2023
01NGP,2023,2/3/2023
01NGQ,2023,NA
01NGQ,2024,NA
01NGR,2021,3/9/2023
01NGR,2022,3/9/2023
01NGR,2023,3/9/2023
01NGT,2021,10/6/2023
01NGT,2022,10/6/2023
01NGT,2023,10/6/2023
01NGT,2024,10/6/2023
01NGV,2021,12/21/2023
01NGV,2022,12/21/2023
01NGX,2021,NA
01NGY,2021,9/27/2023
01NGY,2022,9/27/2023
01NGY,2023,9/27/2023
01NGY,2024,9/27/2023
01NH0,2021,9/27/2023
01NH0,2022,9/27/2023
01NH0,2023,9/27/2023
01NH0,2024,9/27/2023
01NH1,2021,9/27/2023
01NH1,2022,9/27/2023
01NH1,2023,9/27/2023
01NH1,2024,9/27/2023
01NH3,2021,2/3/2023
01NH3,2022,2/3/2023
01NH3,2023,2/3/2023
01NH5,2021,12/19/2023
01NH5,2022,12/19/2023
01NH6,2021,2/3/2023
01NH6,2022,2/3/2023
01NH6,2023,2/3/2023
01NH7,2021,11/30/2022
01NH7,2022,11/30/2022
01NH8,2021,3/9/2023
01NH8,2022,3/9/2023
01NH8,2023,3/9/2023
01NH9,2021,10/18/2024
01NH9,2022,10/18/2024
01NH9,2023,10/18/2024
01NH9,2024,10/18/2024
01NHB,2021,11/29/2023
01NHB,2022,11/29/2023
01NHB,2023,11/29/2023
01NHC,2022,5/14/2024
01NHF,2021,9/27/2023
01NHF,2022,9/27/2023
01NHF,2023,9/27/2023
01NHF,2024,9/27/2023
01NHJ,2022,10/6/2023
01NHJ,2023,10/6/2023
01NHJ,2024,10/6/2023
01NHK,2021,9/27/2023
01NHK,2022,9/27/2023
01NHK,2023,9/27/2023
01NHK,2024,9/27/2023
01NHL,2022,12/11/2023
01NHL,2023,12/11/2023
01NHM,2021,7/26/2024
01NHM,2022,7/26/2024
01NHM,2023,7/26/2024
01NHM,2024,7/26/2024
01NHN,2022,10/6/2023
01NHN,2023,10/6/2023
01NHN,2024,10/6/2023
01NHQ,2021,7/26/2024
01NHQ,2022,7/26/2024
01NHQ,2023,7/26/2024
01NHQ,2024,7/26/2024
01NHR,2022,11/29/2023
01NHR,2023,11/29/2023
01NHT,2021,9/27/2023
01NHT,2022,9/27/2023
01NHT,2023,9/27/2023
01NHT,2024,9/27/2023
01NHV,2021,9/27/2023
01NHV,2022,9/27/2023
01NHV,2023,9/27/2023
01NHV,2024,9/27/2023
01NQF,2020,7/10/2023
01NQF,2021,7/10/2023
03HNQ,2021,12/11/2023
03HNQ,2022,12/11/2023
03HNQ,2023,12/11/2023
03HV1,2021,3/28/2022
03YV9,2022,9/27/2023
03YV9,2023,9/27/2023
03YV9,2024,9/27/2023
03YWC,2022,1/24/2023
043M2,2021,9/27/2023
043M2,2022,9/27/2023
043M2,2023,9/27/2023
043M2,2024,9/27/2023
043M3,2021,9/27/2023
043M3,2022,9/27/2023
043M3,2023,9/27/2023
043M3,2024,9/27/2023
043NM,2022,10/6/2023
043NM,2023,10/6/2023
043NM,2024,10/6/2023
046T7,2023,7/24/2023
046TQ,2022,7/24/2023
046TQ,2023,7/24/2023
047NG,2022,9/27/2023
047NG,2023,9/27/2023
047NG,2024,9/27/2023
047NJ,2022,1/6/2023
047NL,2022,9/27/2023
047NL,2023,9/27/2023
047NL,2024,9/27/2023
0495R,2021,7/26/2024
0495R,2022,7/26/2024
0495R,2023,7/26/2024
0495R,2024,7/26/2024
0495T,2021,7/26/2024
0495T,2022,7/26/2024
0495T,2023,7/26/2024
0495T,2024,7/26/2024
0495V,2021,6/16/2022
0495V,2022,6/16/2022
0495W,2021,7/26/2024
0495W,2022,7/26/2024
0495W,2023,7/26/2024
0495W,2024,7/26/2024
0495X,2021,1/29/2024
0495X,2022,1/29/2024
0495X,2023,1/29/2024
0495Y,2022,9/27/2023
0495Y,2023,9/27/2023
0495Y,2024,9/27/2023
04960,2023,NA
04960,2024,NA
04961,2022,9/27/2023
04961,2023,9/27/2023
04961,2024,9/27/2023
04962,2021,10/9/2023
04962,2022,10/9/2023
04962,2023,10/9/2023
04963,2021,7/26/2024
04963,2022,7/26/2024
04963,2023,7/26/2024
04963,2024,7/26/2024
04964,2021,7/26/2024
04964,2022,7/26/2024
04964,2023,7/26/2024
04964,2024,7/26/2024
04965,2023,NA
04965,2024,NA
04966,2021,7/26/2024
04966,2022,7/26/2024
04966,2023,7/26/2024
04966,2024,7/26/2024
04967,2021,7/26/2024
04967,2022,7/26/2024
